  nu       n         k        t       tcal
       1908.3178       1.3564664    0.0021995150       1.0617591       1.0617592
       1908.5589       1.3564823    0.0021948609       1.0617762       1.0617763
       1908.8000       1.3565011    0.0021953218       1.0617836       1.0617836
       1909.0411       1.3565102    0.0022122869       1.0617591       1.0617592
       1909.2822       1.3565178    0.0021961097       1.0617982       1.0617983
       1909.5233       1.3565346    0.0021914573       1.0618154       1.0618154
       1909.7645       1.3565590    0.0021843034       1.0618374       1.0618374
       1910.0056       1.3565717    0.0022254749       1.0617665       1.0617665
       1910.2467       1.3565487    0.0022549565       1.0617176       1.0617176
       1910.4878       1.3565345    0.0021953532       1.0618398       1.0618398
       1910.7289       1.3565662    0.0021449552       1.0619449       1.0619450
       1910.9700       1.3566066    0.0021646318       1.0619156       1.0619156
       1911.2111       1.3566103    0.0022146269       1.0618276       1.0618276
       1911.4522       1.3565933    0.0022046702       1.0618545       1.0618545
       1911.6933       1.3565956    0.0021642925       1.0619400       1.0619401
       1911.9344       1.3566228    0.0021355241       1.0620036       1.0620037
       1912.1755       1.3566506    0.0021487444       1.0619865       1.0619866
       1912.4166       1.3566608    0.0021656695       1.0619621       1.0619621
       1912.6577       1.3566595    0.0021672589       1.0619669       1.0619670
       1912.8988       1.3566689    0.0021358495       1.0620354       1.0620355
       1913.1399       1.3566969    0.0021248993       1.0620648       1.0620648
       1913.3810       1.3567081    0.0021621585       1.0620012       1.0620012
       1913.6221       1.3567026    0.0021522777       1.0620281       1.0620281
       1913.8632       1.3567051    0.0021348202       1.0620697       1.0620697
       1914.1043       1.3567162    0.0021110626       1.0621235       1.0621235
       1914.3454       1.3567337    0.0020911587       1.0621699       1.0621700
       1914.5865       1.3567735    0.0020447104       1.0622678       1.0622678
       1914.8276       1.3568371    0.0020504904       1.0622653       1.0622654
       1915.0687       1.3568573    0.0021525372       1.0620770       1.0620770
       1915.3098       1.3568308    0.0021692040       1.0620525       1.0620526
       1915.5509       1.3568238    0.0021339191       1.0621283       1.0621284
       1915.7920       1.3568284    0.0021393348       1.0621259       1.0621259
       1916.0331       1.3568270    0.0021205946       1.0621699       1.0621700
       1916.2742       1.3568624    0.0020538385       1.0623069       1.0623069
       1916.5153       1.3569098    0.0020975744       1.0622311       1.0622311
       1916.7564       1.3569080    0.0021562423       1.0621259       1.0621259
       1916.9975       1.3568988    0.0021273102       1.0621895       1.0621895
       1917.2386       1.3569058    0.0021263843       1.0621993       1.0621993
       1917.4797       1.3569213    0.0021026744       1.0622531       1.0622531
       1917.7208       1.3569468    0.0021081944       1.0622506       1.0622507
       1917.9619       1.3569561    0.0021389809       1.0621993       1.0621993
